Authors,DOI,DataSourceType,FeatureName,Latitude,Longitude,FeatureType,FeatureCategory,ThawType,Imagery,ImageryDates,ImageryResolution_meters
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Duck lake 1,68.683761,-149.626836,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Duck lake 2,68.683118,-149.625378,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Dimple TK,68.9514,-150.1943,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,GTH 88 1,68.507251,-149.596189,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,GTH 88 2,68.508107,-149.575256,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,GT1WT,67.928,-161.96455,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,GT1R,67.9284,-161.9616,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,GT2,67.94373,-162.35535,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,GT2R,67.94316,-162.35416,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Horn WT,68.9614,-150.3154,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Horn 2,68.06579,-158.91894,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,IM1TS,68.5554,-149.5747,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,IM1WT,68.5537,-149.5588,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,IM1 revegetated lobe WT,68.554682,-149.575954,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Maren wt,68.08454,-158.02721,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,NE14 tk1,68.677901,-149.623493,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,NE14 tk2,68.678454,-149.62639,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,NE14 tk3,68.678195,-149.628724,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Q lake,68.08844,-158.0413,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tea bag,68.01936,-159.2421,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tear 1,68.525019,-149.543817,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tear 1 wt,68.523239,-149.532094,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tear 2,68.525644,-149.544049,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tear 3,68.526061,-149.54319,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tear 4,68.525019,-149.539186,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,t2011-2 wt (Andrew),68.985503,-150.717242,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Bert and Ernie,68.04517,-158.80459,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Gunstink1,68.963423,-150.732598,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Gunstink2,68.882584,-150.575489,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Gunstink3,68.875634,-150.546675,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,ITK II wt,68.6666,-149.8188,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,ITK II R,68.667799,-149.819846,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Marilyn,67.86232,-157.52834,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Monroe,67.87618,-157.53116,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Selawik,66.497011,-157.60838,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Stinking Bluffs,69.5683,-150.8701,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tear lake WT,68.527,-149.511,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Team America,68.05297,-158.579,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,TW1,67.962,-156.7889,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Twin 2,67.96171,-156.79151,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Twin 3,67.9619,-156.792,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Wood Pile,67.90087,-156.48305,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Nstk-3u,68.87147,-149.57768,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,NE-14,68.67904,-149.6232,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,I-Minus_2,68.54337,-149.5226,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,GTH89,68.52534,-149.54644,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,GTH88,68.50268,-149.58901,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,TRTK,68.6936,-149.2043,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,I-Minus_1,68.55253,-149.57169,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,GTH86,68.61919,-149.42786,Thermokarst/thermoerosional gully,Thermoerosional gully,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,VoTK,68.96278,-150.67086,Active layer detachment,Active layer detachment,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Horn_Lake,68.96068,-150.31443,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Loon_Lake,67.92794,-161.9723,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Slopbucket,67.92515,-161.41811,Active layer detachment,Active layer detachment,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Rainbucket,67.94305,-162.35649,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Grandaddy,68.03481,-159.29156,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Eli,67.71618,-161.43026,Active layer detachment,Active layer detachment,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Saddle,67.8179,-161.44655,Active layer detachment,Active layer detachment,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Bear_Patch,67.73697,-161.42747,Active layer detachment,Active layer detachment,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Sushi,67.86342,-161.48044,Active layer detachment,Active layer detachment,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Remora,67.64853,-161.60562,Active layer detachment,Active layer detachment,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Wulik,67.8477,-163.88159,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Lobelia,68.87938,-150.55647,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Ptarmigan_Bluff,68.8762,-150.54552,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Cotton_Hollow,68.98551,-150.71714,Active layer detachment,Active layer detachment,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Helios,68.91054,-150.74004,Thermokarst,Thermokarst,Non-abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,VoTK_Control,68.9621,-150.66755,Active layer detachment,Active layer detachment,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Itkillik-2,68.66615,-149.8172,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Woodpile,67.89927,-156.48472,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Good_Twin,67.95929,-156.78624,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Third_Twin,67.95835,-156.81985,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Old_Ironslides,68.27005,-157.68447,Active layer detachment,Active layer detachment,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Mafic_Monks,68.26651,-157.47338,Active layer detachment,Active layer detachment,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Cutler_Ice,67.87649,-157.53053,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Jaded_Plover,67.98045,-157.07511,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Gavia_Familia,68.08324,-158.02727,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Filthy_Quebe,68.08735,-158.04102,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T70,68.5971,-149.5978,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
Bowden et al. (2008),https://doi.org/10.1029/2007JG000470,Field - published,T69,68.5552,-149.5721,Retrogressive thaw slump,Retrogressive thaw slump,Abrupt,,,
