Latitude,Longitude,Class,Elevation,Slope,Mean curvature (500 m),Mean curvature (2 km),Height Above Nearest Drainage,Upstream Area,Annual Mean Temperature,Mean Diurnal Range,Isothermality,Temperature Seasonality,Max Temperature of Warmest Month,Min Temperature of Coldest Month,Temperature Annual Range,Mean Temperature of Wettest Quarter,Mean Temperature of Driest Quarter,Mean Temperature of Warmest Quarter,Mean Temperature of Coldest Quarter,Annual Precipitation,Precipitation of Wettest Month,Precipitation of Driest Month,Precipitation Seasonality,Precipitation of Wettest Quarter,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Coldest Quarter,Flammability Index,Mean Annual SWE,Trend in SWE,Trend in precipitation,Trend in temperature,Time Since Last Fire,Burn Count,Yedoma,Northness,Eastness,Land Cover (Dwarf Scrub),Land Cover (Sedge/Herbaceous),Land Cover (Shrub/Scrub),"Land Cover (Developed, Low Intensity)",Land Cover (Open Water),Land Cover (Evergreen Forest),Land Cover (Woody Wetlands),Land Cover (Barren Land (Rock/Sand/Clay)),Land Cover (Emergent Herbaceous Wetlands),Land Cover (Deciduous Forest),Land Cover (Grassland/Herbaceous),Land Cover (Mixed Forest),Land Cover (Cultivated Crops),"Land Cover (Developed, Open Space)","Land Cover (Developed, High Intensity)",Land Cover (Perennial Ice/Snow),"Land Cover (Developed, Medium Intensity)",Land Cover (Pasture/Hay),Vegetation Mode (Graminoid tundra),Vegetation Mode (Shrub tundra),Vegetation Mode (White spruce),Vegetation Mode (Black spruce),Vegetation Mode (Deciduous forest),Vegetation Mode (Wetland tundra),Vegetation Mode (Temperate rainforest),Soil Organic Carbon (0-30 cm),Soil Organic Carbon (30-200 cm),Nitrogen (0-30 cm),Nitrogen (30-200 cm),Bulk Density (0-30 cm),Bulk Density (30-200 cm),Sand (0-30 cm),Sand (30-200 cm),Clay (0-30 cm),Clay (30-200 cm)
68.26634,-157.4737,0,675.4204711914062,0.9660445360388,-0.0002579589130332,-2.9973784619227475e-05,0.0,2.3027637004852295,-115.0,80.0,18.0,12948.0,115.0,-316.0,431.0,42.0,-150.0,56.0,-267.0,234.0,51.0,8.0,65.0,118.0,34.0,112.0,34.0,0.0,45.55316925048828,-0.6271648406982422,4.35775089263916,0.0520308651030063,24.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1675.5,694.2352941176471,8629.166666666666,3401.5882352941176,82.66666666666667,111.05882352941177,365.3333333333333,430.0,199.66666666666666,194.41176470588235
67.73215,-161.42069,0,415.7010192871094,4.776882034060789,-0.0002551334636837,-4.936295519797141e-05,0.0,2.0571835041046143,-88.0,69.0,17.0,11902.0,122.0,-270.0,392.0,64.0,-129.0,70.0,-223.0,230.0,51.0,8.0,67.0,124.0,29.0,105.0,33.0,0.0,85.57330322265625,-3.036964654922486,-4.156505107879639,0.1120682880282402,24.0,0.0,0.0,-0.9999997196304462,-0.0007488250989901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1858.8333333333333,697.2352941176471,9092.666666666666,4117.529411764705,89.0,112.82352941176471,356.3333333333333,435.8235294117647,198.83333333333334,177.41176470588235
68.77053,-149.46891,0,714.3831176757812,3.737674760051143,-8.921820281664092e-05,-2.146036663242611e-05,37.79998779296875,0.0156120955944061,-121.0,114.0,22.0,14546.0,159.0,-358.0,517.0,74.0,-239.0,74.0,-294.0,221.0,45.0,8.0,63.0,112.0,26.0,112.0,31.0,0.0,22.200252532958984,-0.2384671866893768,3.1325607299804688,0.0882055461406707,24.0,0.0,0.0,-0.2039040639543499,-0.9789908746780536,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1621.1666666666667,768.5294117647059,10061.333333333334,3787.470588235294,89.66666666666667,129.23529411764704,425.6666666666667,469.0,224.33333333333334,232.23529411764704
68.68241,-149.624324,0,713.1820678710938,0.2825772584288637,0.0001706360161505,1.9863302011636914e-05,11.9000244140625,0.0031345190946012,-113.0,114.0,21.0,14638.0,166.0,-354.0,520.0,82.0,-231.0,82.0,-289.0,223.0,45.0,8.0,63.0,111.0,26.0,111.0,31.0,0.0,22.311676025390625,-0.2027277499437332,3.357788562774658,0.0918110311031341,24.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1875.0,986.6470588235294,8015.5,3477.0,83.5,115.70588235294117,357.5,433.7647058823529,239.16666666666666,227.52941176470588
68.15794,-156.95082,0,509.0353393554687,0.9228691258223516,-1.0882309056289507e-05,-6.341825077143742e-06,0.899993896484375,0.003207670757547,-107.0,83.0,18.0,13300.0,127.0,-315.0,442.0,52.0,-139.0,67.0,-266.0,239.0,52.0,8.0,65.0,119.0,34.0,113.0,35.0,0.0,35.87248611450195,-0.5474610328674316,3.216665267944336,0.0665771886706352,24.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2207.5,933.4705882352941,11440.333333333334,5291.823529411765,75.66666666666667,116.35294117647058,324.1666666666667,385.52941176470586,240.33333333333334,253.70588235294116
68.1589,-156.9533,0,506.5929870605469,4.495708647870775,-1.0882309056289507e-05,-6.341825077143742e-06,0.0,0.3465364277362823,-107.0,83.0,18.0,13300.0,127.0,-315.0,442.0,52.0,-139.0,67.0,-266.0,239.0,52.0,8.0,65.0,119.0,34.0,113.0,35.0,0.0,35.87248611450195,-0.5474610328674316,3.216665267944336,0.0665771886706352,24.0,0.0,0.0,0.6262985492905444,0.7795833035388583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2170.5,825.7647058823529,10967.0,4563.294117647059,73.5,113.35294117647058,322.5,384.4705882352941,240.33333333333334,254.64705882352942
68.5524,-149.5652,0,829.4251098632812,4.432840044783363,5.284247009907075e-06,7.430088544630259e-06,21.0,0.0252248160541057,-117.0,115.0,22.0,14525.0,163.0,-353.0,516.0,78.0,-233.0,78.0,-290.0,230.0,46.0,8.0,62.0,116.0,27.0,116.0,32.0,0.0,27.23570442199707,-0.2375202029943466,3.7241268157958984,0.0899660065770149,24.0,0.0,0.0,0.907163812247861,-0.4207776345623987,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2623.0,1370.9411764705883,8134.0,2876.0588235294117,87.83333333333333,131.94117647058823,447.5,474.1764705882353,205.0,213.35294117647058
68.5527,-149.56625,0,824.7030029296875,4.402611236220937,-0.0001894720317946,7.430088544630259e-06,20.0,0.0283784549683332,-117.0,115.0,22.0,14525.0,163.0,-353.0,516.0,78.0,-233.0,78.0,-290.0,230.0,46.0,8.0,62.0,116.0,27.0,116.0,32.0,0.0,27.23570442199707,-0.2375202029943466,3.7241268157958984,0.0899660065770149,24.0,0.0,0.0,0.9655059183050856,-0.2603811086040097,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,
68.552613,-149.573159,0,822.0339965820312,1.4631167236654432,-7.162012625856968e-05,7.430088544630259e-06,10.10003662109375,0.1166720390319824,-117.0,115.0,22.0,14542.0,164.0,-353.0,517.0,78.0,-233.0,78.0,-290.0,230.0,46.0,8.0,62.0,116.0,27.0,116.0,32.0,0.0,27.23570442199707,-0.2375202029943466,3.7241268157958984,0.0899660065770149,24.0,0.0,0.0,0.9691167164575252,-0.2466024936665991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2722.1666666666665,1488.1176470588234,7680.833333333333,3272.1176470588234,86.5,131.76470588235293,427.1666666666667,464.05882352941177,207.0,217.41176470588235
68.55334,-149.56092,0,827.1805419921875,5.816766311545823,-0.0001167078757099,7.430088544630259e-06,19.20001220703125,0.0157640799880027,-117.0,115.0,22.0,14525.0,163.0,-353.0,516.0,78.0,-233.0,78.0,-290.0,230.0,46.0,8.0,62.0,116.0,27.0,116.0,32.0,0.0,27.23570442199707,-0.2375202029943466,3.7241268157958984,0.0899660065770149,24.0,0.0,0.0,0.6862007682947981,-0.7274121978573281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2726.3333333333335,1736.5294117647059,,,88.83333333333333,126.11764705882352,,,,
