Latitude,Longitude,Type
63.5465807352484,-152.442735065,0
63.54695,-151.8411,1
63.54763,-151.41882,1
63.54819,-152.51671,1
63.54934,-152.51193,1
63.55103,-152.44409,1
63.5552,-151.47819,1
63.57,-157.73,1
63.5709,-157.7326,1
63.57314,-157.7284,1
63.5735,-157.7286,1
63.5736,-157.7296,1
63.5736,-157.7286,1
63.5736,-157.7276,1
63.5737,-157.7256,1
63.5738,-157.7286,1
63.5738,-157.7274,1
63.5741,-157.7231,1
63.5742,-157.7223,1
63.5752,-157.7204,1
63.57984,-152.3749,1
63.5852099172492,-157.737123176,0
63.59554,-152.73693,1
63.59743,-152.24538,1
63.60287,-152.52248,1
63.61307,-152.32239,1
63.61308,-152.3225,1
63.62248,-152.33845,1
63.62266,-152.70843,1
63.62923,-152.72489,1
63.6341,-152.46093,1
63.64013,-151.10573,1
63.66003,-151.20459,1
63.67751,-152.11207,1
63.68089,-151.78332,1
63.76301,-152.01902,1
63.76693,-150.15729,1
63.81471,-151.90966,1
63.823659517254,-151.871739438,0
63.82665,-151.8799,1
63.84279,-150.83354,1
63.87,-149.25,1
63.8784,-149.2535,0
63.88,-149.25,1
63.8902,-150.71002,1
63.89243,-151.85441,1
63.89443,-151.8566,1
63.89467,-151.92619,1
63.8948,-151.95189,1
63.8972544792555,-151.848657931,0
63.90713,-151.85677,1
63.909,-151.895,1
63.9097,-150.91868,1
63.91321,-151.88128,1
63.91524,-151.7325,1
63.91716,-151.61166,1
63.91794,-151.81364,1
63.91952,-151.90377,1
63.92313,-151.9204,1
63.92745,-151.655,1
63.93327,-151.72334,1
63.93548,-151.90729,1
63.9358,-151.65041,1
63.9364,-151.56701,1
63.93829,-151.68098,1
63.9395934672563,-151.55509473,0
63.94129,-151.58441,1
63.94521,-151.89467,1
63.94538,-151.84732,1
63.94644,-151.75889,1
63.94715,-151.78445,1
63.95001,-151.82122,1
63.95127,-150.69118,1
63.9573,-150.06084,1
63.95917,-151.61083,1
63.96242,-150.68245,1
63.96282,-151.77366,1
63.96368,-151.75796,1
63.96842,-151.73956,1
63.97314,-150.68938,1
63.97582,-151.66881,1
63.9782,-150.9735,1
63.98055,-150.64069,1
63.98118,-151.59525,1
63.98155,-151.21363,1
63.9826,-151.7936,1
63.98531,-151.78919,1
63.98703,-150.69173,1
63.99045,-151.785,1
63.99167,-151.68136,1
63.99441,-150.62742,1
64.02393,-151.78583,1
64.03376,-151.76185,1
64.03672,-151.71151,1
64.05322,-151.69014,1
64.3235,-146.6883,0
64.38,-158.68,1
64.508,-165.2961,0
64.57787292,-146.8708546,1
64.63,-148.27,1
64.63,-147.7,1
64.64354757,-148.2974888,1
64.68,-148.3,1
64.7,-148.32,1
64.7,-148.1,1
64.71549351,-148.0111622,1
64.76248821,-147.0767211,1
64.76516488,-147.0492325,1
64.76636389,-147.0276656,1
64.8,-148.0,1
64.81500624,-146.9695678,1
64.83,-163.7,1
64.85,-147.85,1
64.8529,-147.858,0
64.862965,-147.871126,1
64.863017,-147.871269,1
64.863026,-147.871018,1
64.863032,-147.870968,1
64.863049,-147.87123,1
64.86306,-147.94238,1
64.863099,-147.871242,1
64.863102,-147.871446,1
64.863159,-147.870704,1
64.863173,-147.870556,1
64.863189,-147.871023,1
64.863196,-147.870911,1
64.863211,-147.871304,1
64.863232,-147.871712,1
64.863233,-147.871468,1
64.863242,-147.870789,1
64.863302,-147.871915,1
64.863323,-147.87183,1
64.863327,-147.871836,1
64.863333,-147.871829,1
64.863336,-147.87183,1
64.86334,-147.94011,1
64.863476,-147.865934,1
64.86371,-147.93922,1
64.863725,-147.865198,1
64.86391,-147.93914,1
64.86402,-147.93811,1
64.86404,-147.93914,1
64.86404,-147.93901,1
64.86405,-147.93943,1
64.86407,-147.93876,1
64.86409,-147.93954,1
64.86412,-147.93919,1
64.86414,-147.93932,1
64.86415,-147.93836,1
64.864204,-147.866677,1
64.86424,-147.93997,1
64.86437,-147.9387,1
64.86441,-147.9382,1
64.86449,-147.93894,1
64.86451,-147.93904,1
64.86452,-147.93857,1
64.86452,-147.9384,1
64.86453,-147.93857,1
64.86453,-147.93837,1
64.86453,-147.93836,1
64.86454,-147.93866,1
64.86455,-147.93869,1
64.86455,-147.93825,1
64.86456,-147.93929,1
64.86456,-147.93869,1
64.86456,-147.93868,1
64.86457,-147.93883,1
64.86459,-147.93903,1
64.8646,-147.93928,1
64.8646,-147.93911,1
64.8646,-147.93902,1
64.8646,-147.93897,1
64.86461,-147.93898,1
64.86461,-147.93875,1
64.86462,-147.93897,1
64.86462,-147.93877,1
64.86463,-147.93901,1
