Authors,DOI,Latitude,Longitude,Thaw Type (abrupt vs gradual),Feature Type,Site Name
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.5552,-149.5721,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.7892,-149.5569,Abrupt,Thermokarst Gulley,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.8027,-149.5404,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.9047,-149.5195,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.5419,-149.3315,Abrupt,Thermokarst Gulley,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.6201,-149.3156,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.6921,-149.2047,Abrupt,Thermokarst Gulley,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.6951,-149.0418,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.7853,-148.9672,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.7974,-148.9599,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.7584,-148.9499,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.7667,-148.9479,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.8707,-148.9249,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.9039,-148.8947,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,69.0186,-148.8628,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.9926,-148.8376,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,69.0567,-148.5481,Abrupt,Thaw Slump,NA
Briggs et al. 2014,DOI: 10.1002/2014GL059251,66.45,-145.566667,NA,NA,Twelvemile lake
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.67165,-149.84486,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.67371,-149.84415,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.66683,-149.81808,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.66605,-149.81596,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.67852,-149.6283,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.6794,-149.62553,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.67878,-149.62306,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.67715,-149.6221,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.67948,-149.62132,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.55502,-149.5761,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.55452,-149.57574,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.55293,-149.57563,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.55373,-149.57495,Abrupt,thermokarst,NA
Buckeridge et al. 2020,doi:10.18739/A2V97ZS2J,68.55333,-149.57365,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.43,-162.97,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.41,-162.95,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.4,-162.94,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.43,-162.94,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.41,-162.93,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.47,-162.92,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.4,-162.88,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.44,-162.87,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.45,-162.87,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.46,-162.87,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.48,-162.86,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.5,-162.85,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.4,-162.84,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.41,-162.84,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.34,-162.79,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.36,-162.78,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.52,-162.78,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.54,-162.78,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.51,-162.77,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.6,-162.77,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.52,-162.76,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.53,-162.76,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.49,-162.75,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.59,-162.75,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.34,-162.74,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.52,-162.73,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.6,-162.73,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.35,-162.72,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.5,-162.72,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.53,-162.72,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.44,-162.71,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.46,-162.71,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.48,-162.71,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.51,-162.71,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.32,-162.7,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.47,-162.69,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.59,-162.69,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.58,-162.68,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.39,-162.67,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.43,-162.67,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.44,-162.67,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.52,-162.67,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.57,-162.67,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.46,-162.66,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.49,-162.66,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.51,-162.66,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.58,-162.66,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.5,-162.65,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.53,-162.65,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.41,-162.64,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.44,-162.64,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.51,-162.64,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.57,-162.63,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.47,-162.62,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.49,-162.62,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.55,-162.62,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.33,-162.61,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.47,-162.61,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.41,-162.6,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.52,-162.6,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.57,-162.6,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.39,-162.59,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.4,-162.59,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.44,-162.59,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.46,-162.59,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.48,-162.59,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.54,-162.58,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.83,-162.58,Abrupt,thermokarst,NA
Chen et al. 2021,doi:10.18739/A2610VT0G,67.44,-162.57,Abrupt,thermokarst,NA
