"Authors","DOI","DataSourceType","FeatureName","Latitude","Longitude","FeatureType","FeatureCategory","ThawType","Imagery","ImageryDates","ImageryResolution_meters"
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","GTH 88 1",68.507251,-149.596189,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","GTH 88 2",68.508107,-149.575256,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","GT1WT",67.928,-161.96455,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","GT1R",67.9284,-161.9616,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","GT2",67.94373,-162.35535,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","GT2R",67.94316,-162.35416,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Horn WT",68.9614,-150.3154,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Horn 2",68.06579,-158.91894,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","IM1TS",68.5554,-149.5747,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","IM1WT",68.5537,-149.5588,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","IM1 revegetated lobe WT",68.554682,-149.575954,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Maren wt",68.08454,-158.02721,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","NE14 tk1",68.677901,-149.623493,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","NE14 tk2",68.678454,-149.62639,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","NE14 tk3",68.678195,-149.628724,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Q lake",68.08844,-158.0413,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Tea bag",68.01936,-159.2421,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Tear 1",68.525019,-149.543817,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Tear 1 wt",68.523239,-149.532094,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Tear 2",68.525644,-149.544049,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Tear 3",68.526061,-149.54319,"Retrogressive thaw slump","Retrogressive thaw slump","Abrupt","","",""
